,Date,STATE,DAILY_AQI_VALUE,Date_Keys,DM8CO_Concentration,State_Fixed
75,2016-02,Mississippi,3.931034482758621,1,0.3620689655172415,Mississippi
76,2016-02,Missouri,4.735632183908046,1,0.4137931034482758,Missouri
77,2016-02,Montana,1.7758620689655171,1,0.17758620689655152,Montana
78,2016-02,Nebraska,4.620689655172415,1,0.413793103448276,Nebraska
79,2016-02,Nevada,8.817733990147783,1,0.7714285714285718,Nevada
80,2016-02,New Hampshire,2.2758620689655173,1,0.2241379310344827,New Hampshire
81,2016-02,New Jersey,5.1618497109826595,1,0.4583815028901736,New Jersey
82,2016-02,New Mexico,3.9827586206896552,1,0.3517241379310344,New Mexico
83,2016-02,New York,3.1507936507936507,1,0.29087301587301523,New York
84,2016-02,North Carolina,3.724137931034482,1,0.3396551724137931,North Carolina
