Date,STATE,Unnamed: 0,V1,POC,Daily Max 8-hour CO Concentration,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,STATE_CODE
2016-06,New York,9741510,9741510,269,66.29999999999991,699,6286,26194,11325169,9684
2016-06,North Carolina,2060487,2060487,168,14.200000000000005,147,1193,4972,2273454,1998
2016-06,North Dakota,311212,311212,8,1.2999999999999998,13,184,767,336808,304
2016-06,Ohio,17359176,17359176,419,162.3000000000001,1819,9903,41265,17640319,16341
2016-06,Oklahoma,5362680,5362680,120,40.00000000000002,436,2834,11809,5052120,4800
2016-06,Oregon,2147602,2147602,47,11.299999999999999,115,1101,4587,1978747,1927
2016-06,Pennsylvania,15805923,15805923,358,83.00000000000007,918,7752,32305,13851229,13818
2016-06,Rhode Island,3023550,3023550,60,25.999999999999996,290,1392,5800,2526060,2640
2016-06,South Carolina,1232536,1232536,16,2.900000000000001,29,365,1521,673616,720
2016-06,South Dakota,2321355,2321355,90,6.000000000000003,60,713,2971,1263030,1380
2016-06,Tennessee,11689502,11689502,149,44.60000000000001,484,3487,14531,6273049,7003
2016-06,Texas,30085567,30085567,469,133.9000000000002,1493,8651,36047,15493168,17664
2016-06,Utah,4893837,4893837,58,31.599999999999998,348,1372,5717,2441858,2842
2016-06,Vermont,7672365,7672365,90,16.500000000000007,170,2092,8718,3789090,4500
2016-06,Virginia,16438011,16438011,189,43.50000000000007,460,4394,18311,7957089,9639
2016-06,Washington,9247070,9247070,148,41.69999999999998,477,2413,10054,4378504,5512
2016-06,West Virginia,8089935,8089935,90,31.999999999999996,368,2137,8905,3789090,4860
2016-06,Wisconsin,5173044,5173044,57,14.10000000000001,149,1334,5558,2399757,3135
2016-06,Wyoming,2843835,2843835,30,6.000000000000003,60,673,2805,1263030,1680
2016-07,Alabama,46903,46903,122,43.699999999999996,499,2115,8814,3831191,91
2016-07,Alaska,43400,43400,31,3.600000000000002,36,744,3100,1305131,62
2016-07,Arizona,2564404,2564404,188,51.500000000000114,558,4474,18641,7914988,752
2016-07,Arkansas,977957,977957,62,9.600000000000005,104,744,3100,1305131,155
2016-07,California,141879401,141879401,3371,638.7000000000049,7019,52125,217212,93758927,13362
2016-07,Colorado,25602236,25602236,336,95.00000000000009,1067,6510,27126,11619876,2208
2016-07,Connecticut,14770729,14770729,154,49.80000000000005,562,3613,15056,6483554,1386
2016-07,Delaware,3006938,3006938,31,8.4,87,744,3100,1305131,310
2016-07,District Of Columbia,12126828,12126828,124,64.39999999999996,741,2976,12400,5220524,1364
2016-07,Florida,49108486,49108486,516,186.2000000000002,2093,11385,47441,20418985,5820
2016-07,Georgia,118296,118296,62,36.800000000000026,412,1458,6075,2610262,806
2016-07,Hawaii,243933,243933,118,43.6,483,1942,8094,3662787,1305
2016-07,Idaho,225203,225203,60,13.000000000000007,137,1408,5866,2526060,960
2016-07,Illinois,425328,425328,90,23.200000000000003,258,2108,8783,3789090,1530
2016-07,Indiana,937869,937869,154,72.3999999999999,815,3523,14689,6483554,2772
2016-07,Iowa,699267,699267,93,22.29999999999998,225,2138,8909,3915393,1767
2016-07,Kansas,255409,255409,31,8.2,86,744,3100,1305131,620
2016-07,Kentucky,550433,550433,61,19.800000000000004,221,1444,6017,2568161,1281
