Year,STATE,yearly_aqi_value,Date_Keys,DM8CO_Concentration
2017,Idaho,5.096731319070852,17.5,0.4489354501897183
2017,Illinois,3.1376226994360863,17.5,0.28859359792331746
2017,Indiana,6.722633534713605,17.5,0.5888546062960534
2017,Iowa,2.967979927726869,17.5,0.2793855262151174
2017,Kansas,3.374678291783899,17.5,0.3093071004820171
2017,Kentucky,3.3704178494048134,17.5,0.3065117309369408
2017,Louisiana,5.100692463365275,17.5,0.45314397909011966
2017,Maine,2.405976298035521,17.5,0.2281205116952264
2017,Maryland,2.6170670709551236,17.5,0.24291371921507998
2017,Massachusetts,3.356534679500459,17.5,0.3088140651517531
2017,Michigan,5.644155995164976,17.5,0.49462091277632486
2017,Minnesota,3.9149436877699064,17.5,0.3465467119619452
2017,Mississippi,3.9340494680548446,17.5,0.35611480912556176
2017,Missouri,4.200406500322302,17.5,0.37310464059645243
2017,Montana,2.1512617985597573,17.5,0.20910931477661046
2017,Nebraska,4.2664029214850885,17.5,0.3804824278565149
2017,Nevada,6.366249080990225,17.5,0.5612221948011707
2017,New Hampshire,1.848281490015361,17.5,0.18373943932411663
2017,New Jersey,4.729856044738891,17.5,0.4122958356780386
2017,New Mexico,3.4364173445775417,17.5,0.3121802497362912
2017,New York,3.311229286122309,17.5,0.29914881572461954
2017,North Carolina,4.166085345926858,17.5,0.3706811901678027
2017,North Dakota,2.1627791563275434,17.5,0.21329404466501242
2017,Ohio,3.4928512364256226,17.5,0.3148507676874608
2017,Oklahoma,4.017156451122919,17.5,0.3599767537742325
2017,Oregon,4.12141145267245,17.636363636363637,0.368994251105688
2017,Pennsylvania,3.699873838656732,17.5,0.3297628387439829
2017,Rhode Island,5.715404970793693,17.5,0.5089371015314874
2017,South Carolina,3.0370071684587816,17.5,0.2698003072196621
2017,South Dakota,2.4189039654093416,17.5,0.23359212322922004
2017,Tennessee,3.729474428210865,17.5,0.3334919711679383
2017,Texas,4.836539023105989,17.5,0.4278551537485968
2017,Utah,5.8190182097844625,17.5,0.515039004839687
2017,Vermont,3.0059959275059387,17.5,0.2713080870697426
2017,Virginia,3.8705704288653693,17.5,0.34750089388042643
2017,Washington,3.7512516556777364,17.5,0.33293719638262814
2017,West Virginia,3.6792754736303124,17.5,0.33353686635944707
2017,Wisconsin,2.575902431830307,17.5,0.24836382835414209
2017,Wyoming,1.9303570039075817,17.5,0.19138695487104476
2018,Alabama,4.449814759368202,29.5,0.3939545770947432
2018,Alaska,6.1602550878928986,29.5,0.5469407856443607
2018,Arizona,5.354747861886058,29.5,0.47505224868662516
2018,Arkansas,3.792882744495648,29.5,0.3427579365079365
